position,title,episodes,release_date,members,score,details
39.0,Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,506090,8.75,https://myanimelist.net/anime/263/Hajime_no_Ippo
40.0,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,244785,8.74,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
41.0,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,174660,8.74,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
42.0,Spy x Family,TV (12 eps),Apr 2022 - Jun 2022,1097549,8.73,https://myanimelist.net/anime/50265/Spy_x_Family
43.0,Vinland Saga,TV (24 eps),Jul 2019 - Dec 2019,1198261,8.73,https://myanimelist.net/anime/37521/Vinland_Saga
44.0,Made in Abyss: Retsujitsu no Ougonkyou,TV (12 eps),Jul 2022 - Sep 2022,306381,8.72,https://myanimelist.net/anime/41084/Made_in_Abyss__Retsujitsu_no_Ougonkyou
45.0,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,TV (12 eps),Oct 2021 - Dec 2021,673083,8.72,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2
46.0,Odd Taxi,TV (13 eps),Apr 2021 - Jun 2021,346439,8.71,https://myanimelist.net/anime/46102/Odd_Taxi
47.0,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,262500,8.71,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
48.0,86 Part 2,TV (12 eps),Oct 2021 - Mar 2022,363701,8.71,https://myanimelist.net/anime/48569/86_Part_2
49.0,Ashita no Joe 2,TV (47 eps),Oct 1980 - Aug 1981,44428,8.71,https://myanimelist.net/anime/2921/Ashita_no_Joe_2
50.0,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,2061434,8.7,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
51.0,Fate/stay night Movie: Heaven's Feel - III. Spring Song,Movie (1 eps),Aug 2020 - Aug 2020,296344,8.7,https://myanimelist.net/anime/33050/Fate_stay_night_Movie__Heavens_Feel_-_III_Spring_Song
52.0,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,278046,8.7,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
53.0,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,753434,8.69,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
54.0,Cyberpunk: Edgerunners,ONA (10 eps),Sep 2022 - Sep 2022,361624,8.68,https://myanimelist.net/anime/42310/Cyberpunk__Edgerunners
55.0,Spy x Family Part 2,TV (13 eps),Oct 2022 -,475658,8.68,https://myanimelist.net/anime/50602/Spy_x_Family_Part_2
56.0,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,1209471,8.67,https://myanimelist.net/anime/34599/Made_in_Abyss
57.0,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,1137653,8.67,https://myanimelist.net/anime/164/Mononoke_Hime
58.0,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,764078,8.67,https://myanimelist.net/anime/457/Mushishi
59.0,One Piece,TV (? eps),Oct 1999 -,2003474,8.67,https://myanimelist.net/anime/21/One_Piece
60.0,Violet Evergarden,TV (13 eps),Jan 2018 - Apr 2018,1580915,8.67,https://myanimelist.net/anime/33352/Violet_Evergarden
61.0,Mo Dao Zu Shi: Wanjie Pian,ONA (12 eps),Aug 2021 - Oct 2021,63158,8.66,https://myanimelist.net/anime/40434/Mo_Dao_Zu_Shi__Wanjie_Pian
62.0,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,2010315,8.66,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
63.0,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,252313,8.66,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
64.0,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,1182277,8.66,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
65.0,Jujutsu Kaisen,TV (24 eps),Oct 2020 - Mar 2021,2034281,8.66,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
66.0,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,TV (12 eps),Apr 2020 - Jun 2020,1165150,8.65,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen
67.0,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie (1 eps),Jan 2020 - Jan 2020,379219,8.65,https://myanimelist.net/anime/36862/Made_in_Abyss_Movie_3__Fukaki_Tamashii_no_Reimei
68.0,Mob Psycho 100 III,TV (? eps),Oct 2022 -,373043,8.65,https://myanimelist.net/anime/50172/Mob_Psycho_100_III
69.0,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,228449,8.65,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
70.0,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,1293497,8.64,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
71.0,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Movie (1 eps),Oct 2020 - Oct 2020,1255918,8.64,https://myanimelist.net/anime/40456/Kimetsu_no_Yaiba_Movie__Mugen_Ressha-hen
72.0,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie (1 eps),Mar 2021 - Mar 2021,317334,8.63,https://myanimelist.net/anime/3786/Evangelion__30_10_Thrice_Upon_a_Time
73.0,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,1492462,8.63,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
74.0,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,169890,8.62,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
75.0,Ping Pong the Animation,TV (11 eps),Apr 2014 - Jun 2014,356444,8.62,https://myanimelist.net/anime/22135/Ping_Pong_the_Animation
76.0,Shingeki no Kyojin Season 3,TV (12 eps),Jul 2018 - Oct 2018,2070486,8.62,https://myanimelist.net/anime/35760/Shingeki_no_Kyojin_Season_3
77.0,Death Note,TV (37 eps),Oct 2006 - Jun 2007,3542708,8.62,https://myanimelist.net/anime/1535/Death_Note
78.0,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,Movie (1 eps),Jun 2019 - Jun 2019,619686,8.61,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai
79.0,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,573208,8.61,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
80.0,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,118599,8.6,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
81.0,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,756755,8.59,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
82.0,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,225706,8.59,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
83.0,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,TV (39 eps),Oct 2018 - Jul 2019,892735,8.58,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
84.0,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,407465,8.58,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
85.0,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,235413,8.58,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
86.0,Ousama Ranking,TV (23 eps),Oct 2021 - Mar 2022,486502,8.58,https://myanimelist.net/anime/40834/Ousama_Ranking
87.0,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,272789,8.58,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
88.0,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,169205,8.57,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
89.0,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,200132,8.57,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie_2__Lagann-hen
90.0,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,408927,8.57,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
91.0,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,1035967,8.56,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
92.0,Fruits Basket 2nd Season,TV (25 eps),Apr 2020 - Sep 2020,430847,8.56,https://myanimelist.net/anime/40417/Fruits_Basket_2nd_Season
93.0,Kimi no Suizou wo Tabetai,Movie (1 eps),Sep 2018 - Sep 2018,821875,8.56,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai
94.0,Road of Naruto,ONA (1 eps),Oct 2022 - Oct 2022,12403,8.56,https://myanimelist.net/anime/53236/Road_of_Naruto
95.0,Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,12925,8.56,https://myanimelist.net/anime/40664/Shoujo☆Kageki_Revue_Starlight_Movie
96.0,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,315930,8.56,https://myanimelist.net/anime/47194/Summertime_Render
97.0,Neon Genesis Evangelion: The End of Evangelion,Movie (1 eps),Jul 1997 - Jul 1997,829993,8.55,https://myanimelist.net/anime/32/Neon_Genesis_Evangelion__The_End_of_Evangelion
98.0,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,232050,8.55,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
99.0,Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,566072,8.55,https://myanimelist.net/anime/33/Kenpuu_Denki_Berserk
100.0,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,312922,8.54,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
101.0,Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,699124,8.54,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2
102.0,Mushishi: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,128758,8.54,https://myanimelist.net/anime/21329/Mushishi__Hihamukage
103.0,Slam Dunk,TV (101 eps),Oct 1993 - Mar 1996,267328,8.54,https://myanimelist.net/anime/170/Slam_Dunk
104.0,Nana,TV (47 eps),Apr 2006 - Mar 2007,579532,8.53,https://myanimelist.net/anime/877/Nana
105.0,Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,602312,8.53,https://myanimelist.net/anime/437/Perfect_Blue
106.0,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,3562726,8.53,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
107.0,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,456203,8.53,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
108.0,Bocchi the Rock!,TV (12 eps),Oct 2022 -,80133,8.53,https://myanimelist.net/anime/47917/Bocchi_the_Rock
