position,title,episodes,release_date,members,score,details
4733.0,Versailles no Bara: Seimei Aru Kagiri Aishite,Movie (1 eps),May 1990 - May 1990,3411,6.83,https://myanimelist.net/anime/3868/Versailles_no_Bara__Seimei_Aru_Kagiri_Aishite
4734.0,Wakakusa no Charlotte,TV (30 eps),Oct 1977 - May 1978,2709,6.83,https://myanimelist.net/anime/3196/Wakakusa_no_Charlotte
4735.0,Wata no Kuni Hoshi,Movie (1 eps),Feb 1984 - Feb 1984,5423,6.83,https://myanimelist.net/anime/1207/Wata_no_Kuni_Hoshi
4736.0,Weiß Kreuz OVA,OVA (2 eps),Nov 1999 - Feb 2000,5429,6.83,https://myanimelist.net/anime/1024/Weiß_Kreuz_OVA
4737.0,Wo Shi Da Shenxian 2nd Season,ONA (16 eps),Feb 2021 - Jun 2021,950,6.83,https://myanimelist.net/anime/48369/Wo_Shi_Da_Shenxian_2nd_Season
4738.0,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku wo Ketsui Shimashita.,TV (12 eps),Oct 2013 - Dec 2013,286130,6.83,https://myanimelist.net/anime/18677/Yuusha_ni_Narenakatta_Ore_wa_Shibushibu_Shuushoku_wo_Ketsui_Shimashita
4739.0,Armitage III: Dual-Matrix,Movie (1 eps),Jun 2002 - Jun 2002,17275,6.83,https://myanimelist.net/anime/492/Armitage_III__Dual-Matrix
4740.0,Bakusou Kyoudai Let's & Go,TV (51 eps),Jan 1996 - Dec 1996,10345,6.83,https://myanimelist.net/anime/2705/Bakusou_Kyoudai_Lets___Go
4741.0,Binan Koukou Chikyuu Bouei-bu LOVE!,TV (12 eps),Jan 2015 - Mar 2015,79371,6.83,https://myanimelist.net/anime/27727/Binan_Koukou_Chikyuu_Bouei-bu_LOVE
4742.0,Blue Archive,ONA (? eps),Jan 2021 -,3432,6.83,https://myanimelist.net/anime/48824/Blue_Archive
4743.0,Chibi☆Devi!,TV (75 eps),Oct 2011 - Feb 2014,17226,6.83,https://myanimelist.net/anime/11457/Chibi☆Devi
4744.0,Code Geass: Hangyaku no Lelouch - Kiseki no Birthday,Special (1 eps),Apr 2010 - Apr 2010,30666,6.83,https://myanimelist.net/anime/8728/Code_Geass__Hangyaku_no_Lelouch_-_Kiseki_no_Birthday
4745.0,Crescent Rise,Music (1 eps),Jan 2020 - Jan 2020,1384,6.83,https://myanimelist.net/anime/41167/Crescent_Rise
4746.0,Dagashi Kashi 2,TV (12 eps),Jan 2018 - Mar 2018,153302,6.83,https://myanimelist.net/anime/36049/Dagashi_Kashi_2
4747.0,Dokidoki! Precure Movie: Mana Kekkon!!? Mirai ni Tsunagu Kibou no Dress,Movie (1 eps),Oct 2013 - Oct 2013,4167,6.83,https://myanimelist.net/anime/17357/Dokidoki_Precure_Movie__Mana_Kekkon_Mirai_ni_Tsunagu_Kibou_no_Dress
4748.0,Doraemon Meets Hattori the Ninja,Special (1 eps),Jan 1982 - Jan 1982,2280,6.83,https://myanimelist.net/anime/2630/Doraemon_Meets_Hattori_the_Ninja
4749.0,Dragon Ball Movie 3: Makafushigi Daibouken,Movie (1 eps),Jul 1988 - Jul 1988,53298,6.83,https://myanimelist.net/anime/892/Dragon_Ball_Movie_3__Makafushigi_Daibouken
4750.0,Fate/stay night TV Reproduction,OVA (2 eps),Jan 2010 - Jan 2010,40808,6.83,https://myanimelist.net/anime/7559/Fate_stay_night_TV_Reproduction
4751.0,Fushigi Yuugi: Eikouden,OVA (4 eps),Dec 2001 - Jun 2002,17170,6.83,https://myanimelist.net/anime/124/Fushigi_Yuugi__Eikouden
4752.0,Gakusen Toshi Asterisk,TV (12 eps),Oct 2015 - Dec 2015,613226,6.83,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk
4753.0,Galaxy Angel S,OVA (1 eps),Apr 2004 - Apr 2004,2331,6.83,https://myanimelist.net/anime/12225/Galaxy_Angel_S
4754.0,Ganbare! Kickers,TV (23 eps),Oct 1986 - Mar 1987,8957,6.83,https://myanimelist.net/anime/3053/Ganbare_Kickers
4755.0,Gi(a)rlish Number,TV (12 eps),Oct 2016 - Dec 2016,98577,6.83,https://myanimelist.net/anime/32607/Giarlish_Number
4756.0,Hakaima Sadamitsu,TV (10 eps),Jan 2001 - Mar 2001,5596,6.83,https://myanimelist.net/anime/1465/Hakaima_Sadamitsu
4757.0,Hitori no Shita: The Outcast 3rd Season,ONA (8 eps),Apr 2020 - May 2020,35235,6.83,https://myanimelist.net/anime/38536/Hitori_no_Shita__The_Outcast_3rd_Season
4758.0,Hoshizora e Kakaru Hashi: Kakaru ka? Gakuensai ni Koi no Hashi,Special (1 eps),Dec 2011 - Dec 2011,28932,6.83,https://myanimelist.net/anime/11161/Hoshizora_e_Kakaru_Hashi__Kakaru_ka_Gakuensai_ni_Koi_no_Hashi
4759.0,Huyao Xiao Hongniang: Mu Tiancheng,ONA (12 eps),Dec 2020 - Feb 2021,1805,6.83,https://myanimelist.net/anime/44097/Huyao_Xiao_Hongniang__Mu_Tiancheng
4760.0,Jewelpet Kira☆Deco!,TV (52 eps),Apr 2012 - Mar 2013,3926,6.83,https://myanimelist.net/anime/12963/Jewelpet_Kira☆Deco
4761.0,Juushin Enbu: Hero Tales,TV (26 eps),Oct 2007 - Mar 2008,25878,6.83,https://myanimelist.net/anime/2772/Juushin_Enbu__Hero_Tales
4762.0,Kansaete Kuyashiiwa,Music (1 eps),Mar 2021 - Mar 2021,460,6.83,https://myanimelist.net/anime/48711/Kansaete_Kuyashiiwa
4763.0,Kekkai Sensen: Soresaemo Saitei de Saikou na Hibi,Special (1 eps),Jun 2015 - Jun 2015,38296,6.83,https://myanimelist.net/anime/30915/Kekkai_Sensen__Soresaemo_Saitei_de_Saikou_na_Hibi
4764.0,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,TV (12 eps),Jul 2022 - Sep 2022,182159,6.83,https://myanimelist.net/anime/51213/Kinsou_no_Vermeil__Gakeppuchi_Majutsushi_wa_Saikyou_no_Yakusai_to_Mahou_Sekai_wo_Tsukisusumu
4765.0,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,TV (13 eps),Jul 2006 - Sep 2006,11161,6.83,https://myanimelist.net/anime/1578/Koisuru_Tenshi_Angelique__Kokoro_no_Mezameru_Toki
4766.0,30th Gundam Perfect Mission,OVA (1 eps),Aug 2009 - Aug 2009,6745,6.82,https://myanimelist.net/anime/7113/30th_Gundam_Perfect_Mission
4767.0,Atom: The Beginning,TV (12 eps),Apr 2017 - Jul 2017,29690,6.82,https://myanimelist.net/anime/33371/Atom__The_Beginning
4768.0,Blade of the Immortal,TV (13 eps),Jul 2008 - Dec 2008,65488,6.82,https://myanimelist.net/anime/4151/Blade_of_the_Immortal
4769.0,Captain Tsubasa: Saikyou no Teki! Holland Youth,OVA (1 eps),Dec 1995 - Dec 1995,4570,6.82,https://myanimelist.net/anime/2122/Captain_Tsubasa__Saikyou_no_Teki_Holland_Youth
4770.0,Cardfight!! Vanguard: will+Dress,TV (13 eps),Jul 2022 - Sep 2022,4027,6.82,https://myanimelist.net/anime/49819/Cardfight_Vanguard__will_Dress
4771.0,Crusher Joe,Movie (1 eps),Mar 1983 - Mar 1983,7623,6.82,https://myanimelist.net/anime/2722/Crusher_Joe
4772.0,Double Decker! Doug & Kirill,TV (13 eps),Sep 2018 - Dec 2018,35002,6.82,https://myanimelist.net/anime/37496/Double_Decker_Doug___Kirill
4773.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II: Past & Future,Special (1 eps),Jul 2019 - Jul 2019,50417,6.81,https://myanimelist.net/anime/40064/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II__Past___Future
4774.0,Eromanga-sensei OVA,OVA (2 eps),Jan 2019 - Jan 2019,107634,6.82,https://myanimelist.net/anime/36792/Eromanga-sensei_OVA
4775.0,Fate/kaleid liner Prisma☆Illya 2wei! Specials,Special (5 eps),Sep 2014 - Jan 2015,40481,6.82,https://myanimelist.net/anime/25011/Fate_kaleid_liner_Prisma☆Illya_2wei_Specials
4776.0,Fei Ren Zai 1st Season Part 3,ONA (12 eps),Jun 2020 - Aug 2020,734,6.82,https://myanimelist.net/anime/42455/Fei_Ren_Zai_1st_Season_Part_3
4777.0,Girls & Panzer Heartful Tank Disc: Fushou Akiyama Yukari no Sensha Kouza,Special (1 eps),Sep 2013 - Sep 2013,4622,6.82,https://myanimelist.net/anime/29853/Girls___Panzer_Heartful_Tank_Disc__Fushou_Akiyama_Yukari_no_Sensha_Kouza
4778.0,Hakugin,Music (1 eps),Feb 2020 - Feb 2020,1358,6.82,https://myanimelist.net/anime/42078/Hakugin
4779.0,Happiness Charge Precure!,TV (49 eps),Feb 2014 - Jan 2015,10808,6.82,https://myanimelist.net/anime/21407/Happiness_Charge_Precure
4780.0,Hi no Tori: Yamato-hen,OVA (1 eps),Aug 1987 - Aug 1987,2443,6.82,https://myanimelist.net/anime/2999/Hi_no_Tori__Yamato-hen
4781.0,Hitori no Shita: The Outcast,TV (12 eps),Jul 2016 - Sep 2016,187702,6.82,https://myanimelist.net/anime/33421/Hitori_no_Shita__The_Outcast
4782.0,Honoo no Mirage: Minagiwa no Hangyakusha,OVA (3 eps),Jul 2004 - Nov 2004,10266,6.82,https://myanimelist.net/anime/1020/Honoo_no_Mirage__Minagiwa_no_Hangyakusha
4783.0,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Recap,Special (2 eps),Mar 2022 - Mar 2022,4293,6.82,https://myanimelist.net/anime/51616/Honzuki_no_Gekokujou__Shisho_ni_Naru_Tame_ni_wa_Shudan_wo_Erandeiraremasen_Recap
4784.0,Hyakujuu-Ou GoLion,TV (52 eps),Mar 1981 - Feb 1982,11725,6.82,https://myanimelist.net/anime/1448/Hyakujuu-Ou_GoLion
4785.0,Ichigo 100% Special 2,Special (1 eps),Dec 2005 - Dec 2005,18181,6.82,https://myanimelist.net/anime/641/Ichigo_100_Special_2
4786.0,Jewelpet Magical Change,TV (39 eps),Apr 2015 - Dec 2015,2694,6.82,https://myanimelist.net/anime/30030/Jewelpet_Magical_Change
4787.0,Kawaiku Naritai,Music (1 eps),Jan 2017 - Jan 2017,754,6.82,https://myanimelist.net/anime/38852/Kawaiku_Naritai
4788.0,Mashin Eiyuuden Wataru 2,TV (46 eps),Mar 1990 - Mar 1991,1236,6.82,https://myanimelist.net/anime/4807/Mashin_Eiyuuden_Wataru_2
4789.0,Petit Seka,ONA (10 eps),Jan 2022 - Mar 2022,2861,6.82,https://myanimelist.net/anime/49939/Petit_Seka
4790.0,Play Dice!,Music (1 eps),Feb 2022 - Feb 2022,637,6.82,https://myanimelist.net/anime/51911/Play_Dice
4791.0,Qin Shi Ming Yue: Junlin Tianxia,ONA (75 eps),Dec 2014 - Nov 2017,1051,6.82,https://myanimelist.net/anime/29936/Qin_Shi_Ming_Yue__Junlin_Tianxia
4792.0,Shinmai Maou no Testament Burst,TV (10 eps),Oct 2015 - Dec 2015,365714,6.82,https://myanimelist.net/anime/30363/Shinmai_Maou_no_Testament_Burst
4793.0,Shokei Shoujo no Virgin Road,TV (12 eps),Apr 2022 - Jun 2022,123327,6.82,https://myanimelist.net/anime/47162/Shokei_Shoujo_no_Virgin_Road
4794.0,Strait Jacket,OVA (3 eps),Nov 2007 - Apr 2008,25100,6.82,https://myanimelist.net/anime/3086/Strait_Jacket
4795.0,Suki tte Ii na yo. Mei and Marshmallow,Special (10 eps),Dec 2012 - May 2013,54069,6.82,https://myanimelist.net/anime/17409/Suki_tte_Ii_na_yo_Mei_and_Marshmallow
4796.0,Sword Art Online Movie: Ordinal Scale - Sword Art Offline,Special (1 eps),Sep 2017 - Sep 2017,24931,6.82,https://myanimelist.net/anime/36439/Sword_Art_Online_Movie__Ordinal_Scale_-_Sword_Art_Offline
4797.0,Tennis no Ouji-sama: Oshougatsu Special,Special (1 eps),Mar 2003 - Mar 2003,6705,6.82,https://myanimelist.net/anime/5996/Tennis_no_Ouji-sama__Oshougatsu_Special
4798.0,Tenshi ni Narumon!,TV (26 eps),Apr 1999 - Sep 1999,7051,6.82,https://myanimelist.net/anime/605/Tenshi_ni_Narumon
4799.0,Touken Ranbu: Hanamaru,TV (12 eps),Oct 2016 - Dec 2016,78619,6.82,https://myanimelist.net/anime/33023/Touken_Ranbu__Hanamaru
4800.0,Tsubasa to Hotaru,Special (1 eps),Mar 2014 - Mar 2014,14675,6.82,https://myanimelist.net/anime/21781/Tsubasa_to_Hotaru
4801.0,UFO Princess Valkyrie 4: Toki to Yume to Ginga no Utage,OVA (2 eps),Jul 2006 - Oct 2006,5864,6.82,https://myanimelist.net/anime/1648/UFO_Princess_Valkyrie_4__Toki_to_Yume_to_Ginga_no_Utage
4802.0,UFO Princess Valkyrie: Shichiten Battou Hanayome Shuugyou,Special (1 eps),Aug 2003 - Aug 2003,3609,6.82,https://myanimelist.net/anime/1129/UFO_Princess_Valkyrie__Shichiten_Battou_Hanayome_Shuugyou
4803.0,WONDER LiGHT,Music (1 eps),Oct 2022 - Oct 2022,472,6.82,https://myanimelist.net/anime/53242/WONDER_LiGHT
4804.0,Yama no Susume,TV (12 eps),Jan 2013 - Mar 2013,77109,6.82,https://myanimelist.net/anime/14355/Yama_no_Susume
4805.0,Zhu Xian,ONA (26 eps),Aug 2022 -,1054,6.82,https://myanimelist.net/anime/49759/Zhu_Xian
4806.0,Wan Jie Shen Zhu,ONA (60 eps),Feb 2019 - Aug 2019,2480,6.81,https://myanimelist.net/anime/39191/Wan_Jie_Shen_Zhu
4807.0,Yaku nara Mug Cup mo: Niban Gama,TV (12 eps),Oct 2021 - Dec 2021,15964,6.81,https://myanimelist.net/anime/49263/Yaku_nara_Mug_Cup_mo__Niban_Gama
4808.0,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,TV (12 eps),Jul 2021 - Sep 2021,131208,6.81,https://myanimelist.net/anime/44881/100-man_no_Inochi_no_Ue_ni_Ore_wa_Tatteiru_2nd_Season
4809.0,ACCA: 13-ku Kansatsu-ka Specials,Special (6 eps),Apr 2017 - Aug 2017,9452,6.81,https://myanimelist.net/anime/35720/ACCA__13-ku_Kansatsu-ka_Specials
4810.0,Aishite Aishite Aishite,Music (1 eps),Mar 2015 - Mar 2015,973,6.81,https://myanimelist.net/anime/40914/Aishite_Aishite_Aishite
4811.0,Anime 80-nichikan Sekai Isshuu,TV (26 eps),Jan 1984 - Jul 1984,4863,6.81,https://myanimelist.net/anime/2579/Anime_80-nichikan_Sekai_Isshuu
4812.0,Azur Lane: Bisoku Zenshin! Hokorashiki Bokou ni Shukusai wo,Special (1 eps),Jul 2021 - Jul 2021,5917,6.81,https://myanimelist.net/anime/49487/Azur_Lane__Bisoku_Zenshin_Hokorashiki_Bokou_ni_Shukusai_wo
4813.0,Bang!Bang!Bang!,Music (1 eps),Dec 2019 - Dec 2019,1391,6.81,https://myanimelist.net/anime/40967/BangBangBang
4814.0,Bem Movie: Become Human,Movie (1 eps),Oct 2020 - Oct 2020,9623,6.81,https://myanimelist.net/anime/42129/Bem_Movie__Become_Human
4815.0,Black★Rock Shooter (TV),TV (8 eps),Feb 2012 - Mar 2012,338363,6.81,https://myanimelist.net/anime/11285/Black★Rock_Shooter_TV
4816.0,Cue!,TV (24 eps),Jan 2022 - Jun 2022,22342,6.81,https://myanimelist.net/anime/43735/Cue
4817.0,Doraemon Movie 18: Nobita no Nejimaki City Boukenki,Movie (1 eps),Mar 1997 - Mar 1997,3623,6.81,https://myanimelist.net/anime/2678/Doraemon_Movie_18__Nobita_no_Nejimaki_City_Boukenki
4818.0,Dragonaut: The Resonance - Kotou - Tozasareta Kyousou,Special (1 eps),Sep 2008 - Sep 2008,9258,6.81,https://myanimelist.net/anime/5072/Dragonaut__The_Resonance_-_Kotou_-_Tozasareta_Kyousou
4819.0,Etotama,TV (12 eps),Apr 2015 - Jun 2015,77421,6.81,https://myanimelist.net/anime/28221/Etotama
4820.0,Free! Movie 1: Timeless Medley - Kizuna - Character Butai Aisatsu,Movie (4 eps),Apr 2017 - Apr 2017,6351,6.81,https://myanimelist.net/anime/37858/Free_Movie_1__Timeless_Medley_-_Kizuna_-_Character_Butai_Aisatsu
4821.0,Freezing,TV (12 eps),Jan 2011 - Apr 2011,307677,6.81,https://myanimelist.net/anime/9367/Freezing
4822.0,Grappler Baki,OVA (1 eps),Aug 1994 - Aug 1994,16959,6.81,https://myanimelist.net/anime/1859/Grappler_Baki
4823.0,Heart Realize,Music (1 eps),Mar 2014 - Mar 2014,7811,6.81,https://myanimelist.net/anime/32700/Heart_Realize
4824.0,Heroman,TV (26 eps),Apr 2010 - Sep 2010,38183,6.81,https://myanimelist.net/anime/4334/Heroman
4825.0,Hibike! Euphonium: Suisougaku-bu no Nichijou,Special (7 eps),Jun 2015 - Dec 2015,31241,6.81,https://myanimelist.net/anime/31096/Hibike_Euphonium__Suisougaku-bu_no_Nichijou
4826.0,Hidan no Aria,TV (12 eps),Apr 2011 - Jul 2011,357087,6.81,https://myanimelist.net/anime/8630/Hidan_no_Aria
4827.0,Kamen no Maid Guy: Ano Natsu Ichiban Yutaka na Chichi.,OVA (1 eps),Dec 2008 - Dec 2008,8981,6.81,https://myanimelist.net/anime/5045/Kamen_no_Maid_Guy__Ano_Natsu_Ichiban_Yutaka_na_Chichi
4828.0,Kannazuki no Miko,TV (12 eps),Oct 2004 - Dec 2004,67273,6.81,https://myanimelist.net/anime/143/Kannazuki_no_Miko
4829.0,Kimi ni Sekai,Music (1 eps),Apr 2019 - Apr 2019,1845,6.81,https://myanimelist.net/anime/39769/Kimi_ni_Sekai
4830.0,Kishin Taisen Gigantic Formula,TV (26 eps),Apr 2007 - Sep 2007,6489,6.81,https://myanimelist.net/anime/2215/Kishin_Taisen_Gigantic_Formula
4831.0,Kumorizora no Mukou wa Hareteiru,Music (1 eps),Jul 2022 - Jul 2022,890,6.81,https://myanimelist.net/anime/52507/Kumorizora_no_Mukou_wa_Hareteiru
4832.0,Kure-nai OVA,OVA (2 eps),Jul 2010 - Dec 2010,12996,6.81,https://myanimelist.net/anime/8078/Kure-nai_OVA
4833.0,Lagtrain,Music (1 eps),Jul 2020 - Jul 2020,257,6.81,https://myanimelist.net/anime/51487/Lagtrain
4834.0,Made in Abyss: Retsujitsu no Ougonkyou - Papa to Issho,Special (1 eps),Oct 2022 - Oct 2022,6784,6.81,https://myanimelist.net/anime/52149/Made_in_Abyss__Retsujitsu_no_Ougonkyou_-_Papa_to_Issho
4835.0,Ohayou! Spank,TV (63 eps),Mar 1981 - May 1982,2356,6.81,https://myanimelist.net/anime/2912/Ohayou_Spank
4836.0,Overlord: Ple Ple Pleiades 3,ONA (13 eps),Jul 2018 - Oct 2018,28215,6.81,https://myanimelist.net/anime/37781/Overlord__Ple_Ple_Pleiades_3
4837.0,Pokemon: Pikachu no Natsuyasumi,Movie (1 eps),Jul 1998 - Jul 1998,33584,6.81,https://myanimelist.net/anime/5526/Pokemon__Pikachu_no_Natsuyasumi
4838.0,Precure Super Stars! Movie,Movie (1 eps),Mar 2018 - Mar 2018,2852,6.81,https://myanimelist.net/anime/36995/Precure_Super_Stars_Movie
4839.0,Rilakkuma to Yuuenchi,ONA (8 eps),Aug 2022 - Aug 2022,2305,6.81,https://myanimelist.net/anime/43694/Rilakkuma_to_Yuuenchi
4840.0,Sakamoto Desu ga? Sakamoto Deshita?,Special (1 eps),Sep 2016 - Sep 2016,80627,6.81,https://myanimelist.net/anime/33524/Sakamoto_Desu_ga_Sakamoto_Deshita
4841.0,Shinkyoku Soukai Polyphonica,TV (12 eps),Apr 2007 - Jun 2007,30786,6.81,https://myanimelist.net/anime/1727/Shinkyoku_Soukai_Polyphonica
4842.0,Shinmai Maou no Testament Burst Specials,Special (5 eps),Dec 2015 - Apr 2016,31723,6.81,https://myanimelist.net/anime/32409/Shinmai_Maou_no_Testament_Burst_Specials
4843.0,Toaru Majutsu no Index III,TV (26 eps),Oct 2018 - Apr 2019,230405,6.81,https://myanimelist.net/anime/36432/Toaru_Majutsu_no_Index_III
4844.0,Tokimeki Runners,Music (1 eps),Nov 2018 - Nov 2018,3338,6.81,https://myanimelist.net/anime/39944/Tokimeki_Runners
4845.0,Tytania,TV (26 eps),Oct 2008 - Mar 2009,18757,6.81,https://myanimelist.net/anime/4066/Tytania
4846.0,Vanitas no Karte: En Route Pour le Gévaudan,Special (1 eps),Jan 2022 - Jan 2022,17004,6.81,https://myanimelist.net/anime/50768/Vanitas_no_Karte__En_Route_Pour_le_Gévaudan
4847.0,Lamune,TV (12 eps),Oct 2005 - Dec 2005,40313,6.8,https://myanimelist.net/anime/670/Lamune
4848.0,Lupin III: Bye Bye Liberty - Kiki Ippatsu!,Special (1 eps),Apr 1989 - Apr 1989,7640,6.8,https://myanimelist.net/anime/1415/Lupin_III__Bye_Bye_Liberty_-_Kiki_Ippatsu
4849.0,Macross 7 Plus,Special (11 eps),Jan 1995 - Jan 1996,6602,6.8,https://myanimelist.net/anime/6209/Macross_7_Plus
4850.0,Mahoujin Guru Guru Movie,Movie (1 eps),Apr 1996 - Apr 1996,1942,6.8,https://myanimelist.net/anime/796/Mahoujin_Guru_Guru_Movie
4851.0,Mecha-ude,ONA (1 eps),Sep 2018 - Sep 2018,16105,6.8,https://myanimelist.net/anime/37760/Mecha-ude
4852.0,Meitantei Conan: Hannin no Hanzawa-san,TV (? eps),Oct 2022 -,5417,6.8,https://myanimelist.net/anime/50010/Meitantei_Conan__Hannin_no_Hanzawa-san
4853.0,Monkey Punch: Manga Katsudou Daishashin,TV (12 eps),Jul 2004 - Jun 2005,2129,6.8,https://myanimelist.net/anime/5343/Monkey_Punch__Manga_Katsudou_Daishashin
4854.0,Monster Farm: Enbanseki no Himitsu,TV (48 eps),Apr 1999 - Mar 2000,41757,6.8,https://myanimelist.net/anime/1469/Monster_Farm__Enbanseki_no_Himitsu
4855.0,Montana Jones,TV (52 eps),Apr 1994 - Apr 1995,1802,6.8,https://myanimelist.net/anime/3313/Montana_Jones
4856.0,Musaigen no Phantom World: Mizutama no Kiseki,Special (1 eps),Oct 2016 - Oct 2016,55437,6.8,https://myanimelist.net/anime/33075/Musaigen_no_Phantom_World__Mizutama_no_Kiseki
4857.0,Neo Angelique Abyss,TV (13 eps),Apr 2008 - Jun 2008,36216,6.8,https://myanimelist.net/anime/3615/Neo_Angelique_Abyss
4858.0,No Game No Life: Zero - Manner Movie,Movie (1 eps),Jul 2017 - Jul 2017,28796,6.8,https://myanimelist.net/anime/37402/No_Game_No_Life__Zero_-_Manner_Movie
4859.0,One Piece: Densetsu no Log! Akagami no Shanks!,Special (1 eps),Aug 2022 - Aug 2022,2841,6.8,https://myanimelist.net/anime/52921/One_Piece__Densetsu_no_Log_Akagami_no_Shanks
4860.0,Ookami Shoujo to Kuro Ouji Recap,Special (1 eps),Dec 2014 - Dec 2014,16479,6.8,https://myanimelist.net/anime/29129/Ookami_Shoujo_to_Kuro_Ouji_Recap
4861.0,Otome wa Boku ni Koishiteru: Futari no Elder The Animation,OVA (3 eps),Jul 2012 - Oct 2012,16839,6.8,https://myanimelist.net/anime/9988/Otome_wa_Boku_ni_Koishiteru__Futari_no_Elder_The_Animation
4862.0,Peter Pan no Bouken,TV (41 eps),Jan 1989 - Dec 1989,4356,6.8,https://myanimelist.net/anime/1638/Peter_Pan_no_Bouken
4863.0,Pupipo!,TV (15 eps),Dec 2013 - Mar 2014,20456,6.8,https://myanimelist.net/anime/21325/Pupipo
4864.0,Ring no Seraph,Music (1 eps),Aug 2019 - Aug 2019,1006,6.8,https://myanimelist.net/anime/40410/Ring_no_Seraph
4865.0,Robotica*Robotics,OVA (1 eps),Aug 2010 - Aug 2010,14328,6.8,https://myanimelist.net/anime/12137/RoboticaRobotics
4866.0,Rockman.EXE Beast+,TV (26 eps),Apr 2006 - Sep 2006,5993,6.8,https://myanimelist.net/anime/2713/RockmanEXE_Beast_
4867.0,Seiken Tsukai no World Break,TV (12 eps),Jan 2015 - Mar 2015,287644,6.8,https://myanimelist.net/anime/22663/Seiken_Tsukai_no_World_Break
4868.0,Shi Yi Chang An: Mingyue Jishi You,ONA (12 eps),Oct 2020 - Jan 2021,6904,6.8,https://myanimelist.net/anime/41223/Shi_Yi_Chang_An__Mingyue_Jishi_You
4869.0,Shin Koihime†Musou,TV (12 eps),Oct 2009 - Dec 2009,30701,6.8,https://myanimelist.net/anime/6112/Shin_Koihime†Musou
4870.0,Starmyu 2nd Season Special,Special (1 eps),Jun 2017 - Jun 2017,2457,6.8,https://myanimelist.net/anime/35774/Starmyu_2nd_Season_Special
4871.0,Stratos 4 Advance,OVA (6 eps),Mar 2005 - Jan 2006,3532,6.8,https://myanimelist.net/anime/423/Stratos_4_Advance
4872.0,Super Robot Taisen OG: Divine Wars,TV (25 eps),Oct 2006 - Mar 2007,7589,6.8,https://myanimelist.net/anime/1603/Super_Robot_Taisen_OG__Divine_Wars
4873.0,Tenchi Muyou! Ryououki 2nd Season Picture Drama,Special (1 eps),Sep 1995 - Sep 1995,5730,6.8,https://myanimelist.net/anime/10351/Tenchi_Muyou_Ryououki_2nd_Season_Picture_Drama
4874.0,Toaru Kagaku no Railgun S: Daiji na Koto wa Zenbu Sentou ni Osowatta,OVA (1 eps),Mar 2014 - Mar 2014,31422,6.8,https://myanimelist.net/anime/22759/Toaru_Kagaku_no_Railgun_S__Daiji_na_Koto_wa_Zenbu_Sentou_ni_Osowatta
4875.0,Toji no Miko,TV (24 eps),Jan 2018 - Jun 2018,75116,6.8,https://myanimelist.net/anime/35589/Toji_no_Miko
4876.0,Wan Jie Shen Zhu 2nd Season,ONA (48 eps),Feb 2020 - Jul 2020,1143,6.8,https://myanimelist.net/anime/41210/Wan_Jie_Shen_Zhu_2nd_Season
4877.0,X OVA,OVA (1 eps),Aug 2001 - Aug 2001,12418,6.8,https://myanimelist.net/anime/595/X_OVA
4878.0,Yozakura Quartet,TV (12 eps),Oct 2008 - Dec 2008,146001,6.8,https://myanimelist.net/anime/4548/Yozakura_Quartet
4879.0,Yuu☆Yuu☆Hakusho (Movie),Movie (1 eps),Jul 1993 - Jul 1993,29507,6.8,https://myanimelist.net/anime/882/Yuu☆Yuu☆Hakusho_Movie
4880.0,Ze Tian Ji,ONA (13 eps),Jul 2015 - Dec 2015,7121,6.8,https://myanimelist.net/anime/31838/Ze_Tian_Ji
4881.0,Zuori Qing Kong,Movie (1 eps),Oct 2018 - Oct 2018,10528,6.8,https://myanimelist.net/anime/37207/Zuori_Qing_Kong
4882.0,Beatless Final Stage,TV (4 eps),Sep 2018 - Sep 2018,34218,6.8,https://myanimelist.net/anime/38020/Beatless_Final_Stage
4883.0,Binan Koukou Chikyuu Bouei-bu LOVE! LOVE! LOVE!,OVA (1 eps),Aug 2017 - Aug 2017,8524,6.8,https://myanimelist.net/anime/35182/Binan_Koukou_Chikyuu_Bouei-bu_LOVE_LOVE_LOVE
4884.0,"Busou Shoujo Machiavellianism: Doki! ""Goken-darake"" no Ian Ryokou",OVA (1 eps),Nov 2017 - Nov 2017,45776,6.8,https://myanimelist.net/anime/35314/Busou_Shoujo_Machiavellianism__Doki_Goken-darake_no_Ian_Ryokou
4885.0,Buzzer Beater 2nd Season,TV (13 eps),Jul 2007 - Sep 2007,8482,6.8,https://myanimelist.net/anime/2684/Buzzer_Beater_2nd_Season
4886.0,Captain Tsubasa: Sekai Daikessen!! Jr. World Cup,Movie (1 eps),Jul 1986 - Jul 1986,4892,6.8,https://myanimelist.net/anime/2121/Captain_Tsubasa__Sekai_Daikessen_Jr_World_Cup
